Longo Doggo runtime room data (GeneralInfo.RoomOrder order; instances in stored creation order)
===================================================================
Rooms in runtime order: 11

RUNTIME ROOM 0: rm_title_screen  size=304x208
  id=100319 oBlock at (176,160) scale=(1,9) layerDepth=0
  id=100320 oBlock at (272,128) scale=(1,1) layerDepth=0
  id=100321 oBlock at (288,192) scale=(1,1) layerDepth=0
  id=100322 oBlock at (208,176) scale=(1,1) layerDepth=0
  id=100323 oApple at (384,160) scale=(1,1) layerDepth=0

RUNTIME ROOM 3: rm_level5  size=304x208
  id=100171 oDog at (24,104) scale=(1,1) layerDepth=300
  id=100170 oFlower at (0,0) scale=(1,1) layerDepth=300
  id=100217 oShadows at (0,0) scale=(1,1) layerDepth=400
  id=100164 oBlock at (0,0) scale=(19,1) layerDepth=100
  id=100165 oBlock at (0,192) scale=(19,1) layerDepth=100
  id=100166 oBlock at (288,8) scale=(1,12,5) layerDepth=100
  id=100167 oBlock at (0,0) scale=(1,12,5) layerDepth=100
  id=100168 oButterfly at (120,152) scale=(1,1) layerDepth=100
  id=100169 oButterfly at (256,128) scale=(1,1) layerDepth=100
  id=100172 oBlock at (16,48) scale=(1,1) layerDepth=300
  id=100173 oBlock at (32,144) scale=(2,1) layerDepth=300
  id=100174 oBlock at (64,160) scale=(1,1) layerDepth=300
  id=100175 oBlock at (96,160) scale=(1,1) layerDepth=300
  id=100176 oBlock at (112,144) scale=(1,3) layerDepth=300
  id=100177 oBlock at (112,112) scale=(3,1) layerDepth=300
  id=100178 oBlock at (144,128) scale=(1,3) layerDepth=300
  id=100179 oBlock at (176,176) scale=(1,1) layerDepth=300
  id=100180 oBlock at (176,144) scale=(1,1) layerDepth=300
  id=100181 oButton at (160,160) scale=(1,1) layerDepth=300
  id=100182 oBlock at (192,160) scale=(2,1) layerDepth=300
  id=100183 oBlock at (224,112) scale=(1,5) layerDepth=300
  id=100184 oBlock at (224,16) scale=(1,5) layerDepth=300
  id=100185 oDoor at (224,96) scale=(1,1) layerDepth=300
  id=100186 oBlock at (208,112) scale=(1,1) layerDepth=300
  id=100187 oBlock at (208,64) scale=(1,1) layerDepth=300
  id=100188 oBlock at (160,96) scale=(1,1) layerDepth=300
  id=100189 oBlock at (160,80) scale=(1,1) layerDepth=300
  id=100190 oBlock at (192,16) scale=(1,2) layerDepth=300
  id=100191 oButton at (160,32) scale=(1,1) layerDepth=300
  id=100192 oBlock at (128,48) scale=(1,1) layerDepth=300
  id=100193 oBlock at (112,16) scale=(1,2) layerDepth=300
  id=100194 oBlock at (96,16) scale=(1,1) layerDepth=300
  id=100195 oBlock at (80,32) scale=(1,2) layerDepth=300
  id=100196 oBlock at (96,80) scale=(1,3) layerDepth=300
  id=100197 oBlock at (112,80) scale=(1,1) layerDepth=300
  id=100198 oBlock at (80,112) scale=(1,2) layerDepth=300
  id=100199 oBox at (64,96) scale=(1,1) layerDepth=300
  id=100200 oBlock at (48,64) scale=(1,1) layerDepth=300
  id=100201 oBlock at (48,16) scale=(1,1) layerDepth=300
  id=100202 oSkull at (208,128) scale=(1,1) layerDepth=300
  id=100203 oSkull at (256,160) scale=(1,1) layerDepth=300
  id=100204 oSkull at (208,96) scale=(1,1) layerDepth=300
  id=100205 oHouseSpawner at (256,48) scale=(1,1) layerDepth=300
  id=100206 oApple at (208,16) scale=(1,1) layerDepth=300
  id=100207 oBlock at (272,176) scale=(1,1) layerDepth=300
  id=100208 oFlower at (272,120) scale=(1,1) layerDepth=300
  id=100209 oFlower at (192,176) scale=(1,1) layerDepth=300
  id=100210 oFlower at (216,184) scale=(1,1) layerDepth=300
  id=100211 oFlower at (136,136) scale=(1,1) layerDepth=300
  id=100212 oFlower at (112,104) scale=(1,1) layerDepth=300
  id=100213 oFlower at (104,40) scale=(1,1) layerDepth=300
  id=100214 oDoor at (176,96) scale=(1,1) layerDepth=300
  id=100215 oBlock at (192,96) scale=(1,1) layerDepth=300
  id=100216 oButterfly at (56,32) scale=(1,1) layerDepth=300
  id=100163 oApple at (328,112) scale=(1,1) layerDepth=0

RUNTIME ROOM 4: rm_level4  size=304x208
  id=100373 oFlower at (0,224) scale=(1,1) layerDepth=100
  id=100328 oDog at (40,72) scale=(1,1) layerDepth=0
  id=100329 oBlock at (304,-16) scale=(1,15) layerDepth=0
  id=100330 oBlock at (-16,-16) scale=(21,1) layerDepth=0
  id=100331 oBlock at (-16,208) scale=(21,1) layerDepth=0
  id=100332 oBlock at (-16,-16) scale=(1,15) layerDepth=0
  id=100374 oShadows at (0,0) scale=(1,1) layerDepth=300
  id=100333 oBox at (16,48) scale=(1,1) layerDepth=0
  id=100334 oBlock at (48,0) scale=(1,4) layerDepth=0
  id=100335 oBlock at (48,48) scale=(5,1) layerDepth=0
  id=100336 oBlock at (48,80) scale=(5,1) layerDepth=0
  id=100337 oHole at (112,64) scale=(1,1) layerDepth=0
  id=100338 oBlock at (48,112) scale=(5,1) layerDepth=0
  id=100339 oBlock at (48,112) scale=(1,6) layerDepth=0
  id=100340 oDoor at (48,96) scale=(1,1) layerDepth=0
  id=100341 oDoor at (16,160) scale=(1,1) layerDepth=0
  id=100342 oBlock at (0,160) scale=(1,1) layerDepth=0
  id=100343 oBlock at (32,160) scale=(3,1) layerDepth=0
  id=100344 oSkull at (0,176) scale=(1,1) layerDepth=0
  id=100345 oSkull at (16,192) scale=(1,1) layerDepth=0
  id=100346 oSkull at (32,176) scale=(1,1) layerDepth=0
  id=100347 oSkull at (64,176) scale=(1,1) layerDepth=0
  id=100348 oSkull at (80,192) scale=(1,1) layerDepth=0
  id=100349 oSkull at (96,176) scale=(1,1) layerDepth=0
  id=100350 oBlock at (96,160) scale=(2,1) layerDepth=0
  id=100351 oBlock at (112,160) scale=(1,3) layerDepth=0
  id=100352 oHole at (80,160) scale=(1,1) layerDepth=0
  id=100353 oBox at (80,16) scale=(1,1) layerDepth=0
  id=100354 oButton at (64,96) scale=(1,1) layerDepth=0
  id=100355 oApple at (80,96) scale=(1,1) layerDepth=0
  id=100356 oApple at (96,96) scale=(1,1) layerDepth=0
  id=100357 oApple at (112,96) scale=(1,1) layerDepth=0
  id=100358 oButton at (192,96) scale=(1,1) layerDepth=0
  id=100359 oHouseSpawner at (224,64) scale=(1,1) layerDepth=0
  id=100360 oButterfly at (272,144) scale=(1,1) layerDepth=0
  id=100361 oButterfly at (96,16) scale=(1,1) layerDepth=0
  id=100362 oButterfly at (80,136) scale=(1,1) layerDepth=0
  id=100363 oFlower at (240,184) scale=(1,1) layerDepth=0
  id=100364 oFlower at (264,16) scale=(1,1) layerDepth=0
  id=100365 oFlower at (64,192) scale=(1,1) layerDepth=0
  id=100366 oFlower at (8,128) scale=(1,1) layerDepth=0
  id=100367 oFlower at (160,48) scale=(1,1) layerDepth=0
  id=100368 oBlock at (208,16) scale=(1,1) layerDepth=0
  id=100369 oBlock at (272,192) scale=(1,1) layerDepth=0
  id=100370 oBlock at (64,128) scale=(1,1) layerDepth=0
  id=100371 oApple at (96,64) scale=(1,1) layerDepth=0
  id=100372 oSkull at (16,176) scale=(1,1) layerDepth=0
  id=100326 oTutorial at (368,88) scale=(1,1) layerDepth=-200
  id=100327 oApple at (360,152) scale=(1,1) layerDepth=-200

RUNTIME ROOM 5: rm_level2  size=304x208
  id=100426 oFlower at (0,224) scale=(1,1) layerDepth=400
  id=100376 oDog at (24,88) scale=(1,1) layerDepth=300
  id=100377 oSkull at (64,80) scale=(1,1) layerDepth=300
  id=100378 oBlock at (304,-16) scale=(1,15) layerDepth=300
  id=100379 oBlock at (-16,0) scale=(21,1) layerDepth=300
  id=100380 oBlock at (-8,192) scale=(21,1) layerDepth=300
  id=100381 oBlock at (0,-8) scale=(1,15) layerDepth=300
  id=100427 oShadows at (0,0) scale=(1,1) layerDepth=500
  id=100382 oBlock at (32,32) scale=(16,1) layerDepth=300
  id=100383 oApple at (32,64) scale=(1,1) layerDepth=300
  id=100384 oBlock at (288,96) scale=(1,7,5) layerDepth=300
  id=100385 oBlock at (160,96) scale=(8,5,1) layerDepth=300
  id=100386 oBlock at (224,32) scale=(1,7) layerDepth=300
  id=100387 oBlock at (32,48) scale=(1,1) layerDepth=300
  id=100388 oBox at (32,80) scale=(1,1) layerDepth=300
  id=100389 oHole at (16,64) scale=(1,1) layerDepth=300
  id=100390 oBlock at (32,96) scale=(1,5) layerDepth=300
  id=100391 oBlock at (40,160) scale=(6,4999995,1) layerDepth=300
  id=100392 oBlock at (192,128) scale=(1,2) layerDepth=300
  id=100393 oBlock at (208,160) scale=(4,1) layerDepth=300
  id=100394 oBlock at (256,128) scale=(1,2) layerDepth=300
  id=100395 oHouseSpawner at (256,64) scale=(1,1) layerDepth=300
  id=100396 oHole at (192,176) scale=(1,1) layerDepth=300
  id=100397 oBox at (208,176) scale=(1,1) layerDepth=300
  id=100398 oDoor at (144,160) scale=(1,1) layerDepth=300
  id=100399 oBlock at (160,112) scale=(1,4) layerDepth=300
  id=100400 oBlock at (48,128) scale=(3,1) layerDepth=300
  id=100401 oApple at (48,144) scale=(1,1) layerDepth=300
  id=100402 oApple at (64,144) scale=(1,1) layerDepth=300
  id=100403 oApple at (80,144) scale=(1,1) layerDepth=300
  id=100404 oBlock at (112,128) scale=(2,1) layerDepth=300
  id=100405 oBlock at (128,80) scale=(1,3,5) layerDepth=300
  id=100406 oBlock at (64,96) scale=(2,1) layerDepth=300
  id=100407 oBlock at (80,40) scale=(1,3,5) layerDepth=300
  id=100408 oBlock at (96,48) scale=(3,1) layerDepth=300
  id=100409 oBlock at (160,48) scale=(4,1) layerDepth=300
  id=100410 oBox at (144,64) scale=(1,1) layerDepth=300
  id=100411 oBox at (160,64) scale=(1,1) layerDepth=300
  id=100412 oBox at (192,64) scale=(1,1) layerDepth=300
  id=100413 oHole at (176,64) scale=(1,1) layerDepth=300
  id=100414 oSkull at (160,80) scale=(1,1) layerDepth=300
  id=100415 oBlock at (96,80) scale=(1,1) layerDepth=300
  id=100416 oButton at (96,64) scale=(1,1) layerDepth=300
  id=100417 oSkull at (96,96) scale=(1,1) layerDepth=300
  id=100418 oSkull at (192,160) scale=(1,1) layerDepth=300
  id=100419 oFlower at (240,88) scale=(1,1) layerDepth=300
  id=100420 oFlower at (184,136) scale=(1,1) layerDepth=300
  id=100421 oFlower at (128,144) scale=(1,1) layerDepth=300
  id=100422 oFlower at (0,112) scale=(1,1) layerDepth=300
  id=100423 oFlower at (168,24) scale=(1,1) layerDepth=300
  id=100424 oButterfly at (224,144) scale=(1,1) layerDepth=300
  id=100425 oButterfly at (64,112) scale=(1,1) layerDepth=300
  id=100375 oApple at (352,104) scale=(1,1) layerDepth=0

RUNTIME ROOM 6: rm_level1  size=304x208
  id=100079 oFlower at (0,224) scale=(1,1) layerDepth=400
  id=100025 oHouseSpawner at (64,48) scale=(1,1) layerDepth=300
  id=100026 oDog at (72,88) scale=(1,1) layerDepth=300
  id=100027 oBox at (96,80) scale=(1,1) layerDepth=300
  id=100028 oBlock at (160,48) scale=(5,1) layerDepth=300
  id=100029 oBlock at (208,16) scale=(1,1) layerDepth=300
  id=100030 oBlock at (240,64) scale=(1,1) layerDepth=300
  id=100031 oBlock at (272,16) scale=(1,8) layerDepth=300
  id=100032 oBlock at (160,0) scale=(8,1) layerDepth=300
  id=100033 oHole at (256,80) scale=(1,1) layerDepth=300
  id=100034 oHole at (240,80) scale=(1,1) layerDepth=300
  id=100035 oHole at (224,80) scale=(1,1) layerDepth=300
  id=100036 oHole at (208,80) scale=(1,1) layerDepth=300
  id=100037 oBlock at (192,64) scale=(1,4) layerDepth=300
  id=100038 oBlock at (256,112) scale=(1,3) layerDepth=300
  id=100039 oDoor at (240,112) scale=(1,1) layerDepth=300
  id=100040 oDoor at (224,112) scale=(1,1) layerDepth=300
  id=100041 oSkull at (256,96) scale=(1,1) layerDepth=300
  id=100042 oSkull at (240,96) scale=(1,1) layerDepth=300
  id=100043 oSkull at (224,96) scale=(1,1) layerDepth=300
  id=100044 oBlock at (208,128) scale=(1,2) layerDepth=300
  id=100045 oButton at (192,128) scale=(1,1) layerDepth=300
  id=100046 oBox at (224,128) scale=(1,1) layerDepth=300
  id=100047 oBox at (240,128) scale=(1,1) layerDepth=300
  id=100048 oHole at (224,160) scale=(1,1) layerDepth=300
  id=100049 oHole at (240,160) scale=(1,1) layerDepth=300
  id=100050 oButton at (224,144) scale=(1,1) layerDepth=300
  id=100051 oButton at (240,144) scale=(1,1) layerDepth=300
  id=100052 oBox at (256,160) scale=(1,1) layerDepth=300
  id=100053 oBox at (208,160) scale=(1,1) layerDepth=300
  id=100054 oSkull at (224,64) scale=(1,1) layerDepth=300
  id=100055 oApple at (192,144) scale=(1,1) layerDepth=300
  id=100056 oBlock at (288,128) scale=(1,1) layerDepth=300
  id=100057 oBlock at (304,-16) scale=(1,15) layerDepth=300
  id=100058 oBlock at (-16,-16) scale=(21,1) layerDepth=300
  id=100059 oBlock at (-16,208) scale=(21,1) layerDepth=300
  id=100060 oBlock at (-16,-16) scale=(1,15) layerDepth=300
  id=100061 oButton at (256,64) scale=(1,1) layerDepth=300
  id=100080 oShadows at (0,0) scale=(1,1) layerDepth=500
  id=100062 oBlock at (192,16) scale=(1,1) layerDepth=300
  id=100063 oApple at (176,16) scale=(1,1) layerDepth=300
  id=100064 oFlower at (128,136) scale=(1,1) layerDepth=300
  id=100065 oFlower at (24,16) scale=(1,1) layerDepth=300
  id=100066 oFlower at (168,184) scale=(1,1) layerDepth=300
  id=100067 oFlower at (32,176) scale=(1,1) layerDepth=300
  id=100068 oFlower at (288,16) scale=(1,1) layerDepth=300
  id=100069 oFlower at (296,24) scale=(1,1) layerDepth=300
  id=100070 oFlower at (288,32) scale=(1,1) layerDepth=300
  id=100071 oFlower at (296,40) scale=(1,1) layerDepth=300
  id=100072 oButterfly at (40,96) scale=(1,1) layerDepth=300
  id=100073 oButterfly at (272,160) scale=(1,1) layerDepth=300
  id=100074 oApple at (272,144) scale=(1,1) layerDepth=300
  id=100075 oApple at (288,144) scale=(1,1) layerDepth=300
  id=100076 oFlower at (288,200) scale=(1,1) layerDepth=300
  id=100077 oButterfly at (192,32) scale=(1,1) layerDepth=300
  id=100078 oApple at (344,120) scale=(1,1) layerDepth=300

RUNTIME ROOM 7: rm_level3  size=304x208
  id=100281 oFlower at (0,224) scale=(1,1) layerDepth=400
  id=100219 oDog at (8,40) scale=(1,1) layerDepth=300
  id=100220 oBlock at (304,-16) scale=(1,15) layerDepth=300
  id=100221 oBlock at (-16,-16) scale=(21,1) layerDepth=300
  id=100222 oBlock at (-16,208) scale=(21,1) layerDepth=300
  id=100223 oBlock at (-16,-16) scale=(1,15) layerDepth=300
  id=100282 oShadows at (0,0) scale=(1,1) layerDepth=500
  id=100224 oBlock at (16,16) scale=(1,10) layerDepth=300
  id=100225 oHole at (0,176) scale=(1,1) layerDepth=300
  id=100226 oSkull at (0,160) scale=(1,1) layerDepth=300
  id=100227 oSkull at (0,144) scale=(1,1) layerDepth=300
  id=100228 oSkull at (0,128) scale=(1,1) layerDepth=300
  id=100229 oApple at (0,16) scale=(1,1) layerDepth=300
  id=100230 oApple at (0,0) scale=(1,1) layerDepth=300
  id=100231 oApple at (16,0) scale=(1,1) layerDepth=300
  id=100232 oApple at (32,0) scale=(1,1) layerDepth=300
  id=100233 oBlock at (16,48) scale=(3,1) layerDepth=300
  id=100234 oBlock at (32,80) scale=(1,1) layerDepth=300
  id=100235 oButton at (32,64) scale=(1,1) layerDepth=300
  id=100236 oBlock at (32,160) scale=(1,1) layerDepth=300
  id=100237 oHole at (64,48) scale=(1,1) layerDepth=300
  id=100238 oBlock at (80,48) scale=(3,1) layerDepth=300
  id=100239 oBox at (80,64) scale=(1,1) layerDepth=300
  id=100240 oBox at (80,80) scale=(1,1) layerDepth=300
  id=100241 oDoor at (112,64) scale=(1,1) layerDepth=300
  id=100242 oBlock at (112,80) scale=(1,5) layerDepth=300
  id=100243 oBlock at (112,176) scale=(2,1) layerDepth=300
  id=100244 oBlock at (160,176) scale=(2,1) layerDepth=300
  id=100245 oDoor at (144,176) scale=(1,1) layerDepth=300
  id=100246 oHouseSpawner at (144,144) scale=(1,1) layerDepth=300
  id=100247 oBlock at (176,80) scale=(1,5) layerDepth=300
  id=100248 oBox at (128,64) scale=(1,1) layerDepth=300
  id=100249 oBlock at (128,32) scale=(3,1) layerDepth=300
  id=100250 oBlock at (176,48) scale=(3,1) layerDepth=300
  id=100251 oDoor at (176,64) scale=(1,1) layerDepth=300
  id=100252 oApple at (144,192) scale=(1,1) layerDepth=300
  id=100253 oBlock at (272,16) scale=(1,10) layerDepth=300
  id=100254 oBlock at (256,160) scale=(2,1) layerDepth=300
  id=100255 oButton at (112,32) scale=(1,1) layerDepth=300
  id=100256 oBlock at (144,0) scale=(1,3) layerDepth=300
  id=100257 oBlock at (128,96) scale=(3,1) layerDepth=300
  id=100258 oBox at (208,64) scale=(1,1) layerDepth=300
  id=100259 oBox at (208,80) scale=(1,1) layerDepth=300
  id=100260 oButton at (256,64) scale=(1,1) layerDepth=300
  id=100261 oBlock at (240,48) scale=(3,1) layerDepth=300
  id=100262 oBlock at (256,80) scale=(2,1) layerDepth=300
  id=100263 oButton at (288,48) scale=(1,1) layerDepth=300
  id=100264 oDoor at (288,16) scale=(1,1) layerDepth=300
  id=100265 oButton at (288,192) scale=(1,1) layerDepth=300
  id=100266 oSkull at (144,64) scale=(1,1) layerDepth=300
  id=100267 oSkull at (160,80) scale=(1,1) layerDepth=300
  id=100268 oSkull at (160,48) scale=(1,1) layerDepth=300
  id=100269 oSkull at (128,80) scale=(1,1) layerDepth=300
  id=100270 oSkull at (128,48) scale=(1,1) layerDepth=300
  id=100271 oButterfly at (32,80) scale=(1,1) layerDepth=300
  id=100272 oButterfly at (240,16) scale=(1,1) layerDepth=300
  id=100273 oBox at (80,16) scale=(1,1) layerDepth=300
  id=100274 oHole at (240,64) scale=(1,1) layerDepth=300
  id=100275 oFlower at (72,120) scale=(1,1) layerDepth=300
  id=100276 oFlower at (240,184) scale=(1,1) layerDepth=300
  id=100277 oFlower at (200,8) scale=(1,1) layerDepth=300
  id=100278 oFlower at (8,112) scale=(1,1) layerDepth=300
  id=100279 oHole at (176,160) scale=(1,1) layerDepth=300
  id=100280 oHole at (112,160) scale=(1,1) layerDepth=300
  id=100218 oApple at (352,104) scale=(1,1) layerDepth=0

RUNTIME ROOM 8: rm_credits  size=304x208
  id=100154 oFlower at (0,224) scale=(1,1) layerDepth=100
  id=100090 oDog at (120,88) scale=(1,1) layerDepth=0
  id=100091 oBlock at (304,-16) scale=(1,15) layerDepth=0
  id=100092 oBlock at (-16,0) scale=(21,1) layerDepth=0
  id=100093 oBlock at (-16,208) scale=(21,1) layerDepth=0
  id=100094 oBlock at (-16,-16) scale=(1,15) layerDepth=0
  id=100155 oShadows at (0,0) scale=(1,1) layerDepth=300
  id=100095 oSkull at (224,96) scale=(1,1) layerDepth=0
  id=100096 oSkull at (64,48) scale=(1,1) layerDepth=0
  id=100097 oSkull at (48,160) scale=(1,1) layerDepth=0
  id=100098 oApple at (272,144) scale=(1,1) layerDepth=0
  id=100099 oApple at (240,32) scale=(1,1) layerDepth=0
  id=100100 oApple at (32,80) scale=(1,1) layerDepth=0
  id=100101 oApple at (144,176) scale=(1,1) layerDepth=0
  id=100102 oApple at (256,128) scale=(1,1) layerDepth=0
  id=100103 oApple at (256,96) scale=(1,1) layerDepth=0
  id=100104 oApple at (256,64) scale=(1,1) layerDepth=0
  id=100105 oApple at (272,112) scale=(1,1) layerDepth=0
  id=100106 oApple at (240,112) scale=(1,1) layerDepth=0
  id=100107 oApple at (240,144) scale=(1,1) layerDepth=0
  id=100108 oApple at (96,128) scale=(1,1) layerDepth=0
  id=100109 oApple at (96,64) scale=(1,1) layerDepth=0
  id=100110 oBox at (64,96) scale=(1,1) layerDepth=0
  id=100111 oBox at (208,64) scale=(1,1) layerDepth=0
  id=100112 oBox at (32,48) scale=(1,1) layerDepth=0
  id=100113 oButterfly at (256,144) scale=(1,1) layerDepth=0
  id=100114 oButterfly at (24,128) scale=(1,1) layerDepth=0
  id=100115 oButterfly at (168,48) scale=(1,1) layerDepth=0
  id=100116 oButterfly at (24,72) scale=(1,1) layerDepth=0
  id=100117 oHole at (0,176) scale=(1,1) layerDepth=0
  id=100118 oHole at (96,192) scale=(1,1) layerDepth=0
  id=100119 oBox at (176,128) scale=(1,1) layerDepth=0
  id=100120 oApple at (80,192) scale=(1,1) layerDepth=0
  id=100121 oApple at (16,192) scale=(1,1) layerDepth=0
  id=100122 oApple at (32,176) scale=(1,1) layerDepth=0
  id=100123 oApple at (48,192) scale=(1,1) layerDepth=0
  id=100124 oHole at (0,192) scale=(1,1) layerDepth=0
  id=100125 oApple at (64,176) scale=(1,1) layerDepth=0
  id=100126 oButton at (208,128) scale=(1,1) layerDepth=0
  id=100127 oButton at (16,64) scale=(1,1) layerDepth=0
  id=100128 oDoor at (208,160) scale=(1,1) layerDepth=0
  id=100129 oBox at (128,160) scale=(1,1) layerDepth=0
  id=100130 oBox at (176,176) scale=(1,1) layerDepth=0
  id=100131 oBox at (144,160) scale=(1,1) layerDepth=0
